,longitude,latitude,name,park_type,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
8022,-121.791,45.108,Hoodview,NF,mid may-mid sep,nan,56,3287.0,NH ND 32ft NS RS,OR,13.7,S,Government Camp
8023,-122.121,44.712,Hoover,NF,nan,nan,86,1637.0,NH ND 22ft NS NR,OR,2.1,SE,Detroit
8025,-121.785,44.781,Horseshoe Lake (Olallie),NF,nan,nan,6,5371.0,NH ND 10ft NS NR L$,OR,44.2,SE,Estacada
8027,-121.201,43.718,Hot Springs,NF,nan,nan,80,6421.0,NH ND 26ft NS NR,OR,15.5,E,La Pine
8028,-122.244,44.392,House Rock,NF,nan,nan,24,1778.0,NH ND NS NR,OR,24.3,E,Sweet Home
8029,-117.91,45.563,Hu - Na - Ha RV Park,CP,nan,nan,44,2651.0,WES DW SH,OR,0.4,SE,Elgin
8030,-122.337,42.876,Huckleberry City,NF,nan,nan,25,5545.0,NH ND NS NR,OR,11.4,NE,Prospect
8033,-122.078,44.772,Humbug,NF,nan,nan,22,1670.0,NH ND NS NR,OR,4.4,NE,Detroit
8037,-117.298,45.332,Hurricane Creek,NF,nan,nan,14,4652.0,NH ND NS NR,OR,6.6,S,Enterprise
8038,-122.464,42.167,Hyatt Lake,BLM,nan,nan,nan,5125.0,NH DP NR,OR,12.7,E,Ashland
8039,-122.0,44.344,Ice Cap Creek,NF,nan,nan,14,2848.0,NH ND NS NR,OR,21.3,NE,Blue River
8040,-118.99,43.801,Idlewild,NF,early may-late oct,nan,40,5299.0,NH ND NS RS,OR,15.2,N,Burns
8042,-122.332,42.704,Imnaha,NF,nan,nan,5,3862.0,NH ND NS NR L$,OR,16.3,NE,Butte Falls
8043,-117.013,45.113,Indian Crossing,NF,nan,nan,10,4534.0,NH ND NS NR,OR,19.8,SE,Joseph
8044,-121.61,44.358,Indian Ford,NF,nan,nan,25,3281.0,NH ND NS NR,OR,5.5,NW,Sisters
8047,-122.152,43.312,Inlet,NF,nan,nan,14,4199.0,NH ND NS NR,OR,19.7,W,Chemult
8048,-121.96,43.809,Irish and Taylor,NF,nan,tent only,6,5550.0,NH ND NS NR,OR,36.4,SW,Bend
8049,-117.395,45.298,Irondyke Forest Camp,NF,nan,nan,6,5266.0,NR,OR,10.5,SW,Enterprise
8052,-122.009,43.749,Islet,NF,nan,nan,55,5446.0,NH ND 30ft NS NR,OR,22.6,E,Oakridge
8053,-121.701,44.485,Jack Creek,NF,nan,nan,19,3143.0,NH ND NS NR,OR,15.3,NW,Sisters
8054,-118.624,42.718,Jackman Park,BLM,mid jul-mid nov,nan,6,7656.0,NH ND NS NR L$,OR,16.6,SE,Frenchglen
8055,-123.087,42.114,Jackson  Complex,NF,nan,nan,4,1686.0,NH ND DW NS NR,OR,8.8,S,Ruch
8056,-121.453,42.985,Jackson Creek,NF,nan,nan,12,4803.0,NH ND NS NR,OR,23.1,SE,Chemult
8057,-121.977,42.736,Jackson F. Kimball State Park,SP,nan,primitive sites,10,4227.0,NH ND NW NS NR L$,OR,12.3,NW,Chiloquin
8058,-120.696,44.135,Jasper Point - Prineville Reservoir State Park,SP,all year,nan,30,3275.0,E RS,OR,13.3,SE,Prineville
8059,-121.135,44.62,Jefferson County Fairgrounds RV,CP,nan,nan,nan,2320.0,E,OR,1.0,S,Madras
8060,-118.974,43.827,Joaquin Miller Horse Camp,NF,nan,nan,12,5209.0,NH ND VT DW NS NR,OR,17.1,N,Burns
8061,-121.747,45.1,Joe Graham Horse Camp,NF,mid may-mid sep,nan,13,3347.0,NH ND VT DW NS RS,OR,14.1,S,Government Camp
8064,-120.6,42.608,Jones Crossing Forest Camp,NF,nan,nan,8,4839.0,NR,OR,6.6,SW,Paisley
8065,-122.615,42.684,Joseph Stewart State Park,SP,all year,nan,nan,2001.0,E DP DW SH RS L$,OR,28.1,NE,Medford
8066,-123.686,42.242,Josephine Creek Camp,NF,nan,nan,6,2546.0,NH VT NW NR,OR,4.4,SW,Selma
8067,-117.964,45.828,Jubilee Lake,NF,nan,nan,115,4744.0,NH ND NS NR,OR,22.2,E,Weston
8068,-121.519,45.154,Keeps Mill,NF,nan,nan,5,2615.0,NH ND NS NR L$,OR,28.0,SW,Dufur
8069,-122.255,43.886,Kiahanie,NF,nan,nan,19,2267.0,NH ND NS NR,OR,14.1,NE,Oakridge
8071,-122.09,44.978,Kingfisher,NF,mid may-late aug,nan,23,1854.0,NH ND NS RS,OR,24.6,SE,Estacada
8072,-121.749,42.164,Kingsley Military,MIL,nan,military only - do not use our lat/lon - contact them for directions and info,nan,4088.0,RS,OR,4.5,S,Klamath Falls
8073,-121.661,45.459,Kinnickinnick,NF,nan,nan,15,2963.0,NH ND NS NR,OR,5.3,SW,Parkdale
8074,-122.376,42.211,Klum Landing  - Howard Prairie Lake,CP,mid apr-mid sep,nan,30,4548.0,NH ND FT DW SH,OR,17.1,E,Ashland
8075,-121.479,45.436,Knebal Springs,NF,nan,nan,8,3822.0,NH ND 22ft NS NR L$,OR,16.9,W,Dufur
8078,-124.204,42.701,Laird Lake,NF,nan,nan,4,1808.0,NH ND NS NR,OR,14.2,SW,Powers
8079,-116.913,45.01,Lake Fork,NF,nan,nan,10,3333.0,NH ND NS NR,OR,28.4,SE,Joseph
8080,-121.958,45.074,Lake Harriet,NF,early may-mid sep,nan,16,2103.0,NH ND NS RS,OR,23.6,SE,Estacada
8081,-122.721,43.217,Lake In The Woods,NF,nan,nan,17,3146.0,NH ND NS NR,OR,20.0,E,Glide
8082,-117.237,43.62,Lake Owyhee State Park,SP,all year,nan,nan,2772.0,WES DP SH RS,OR,21.5,SW,Nyssa
8083,-123.581,42.268,Lake Selmac County Park,CP,nan,4 campgrounds,nan,1703.0,nan,OR,2.0,SE,Selma
8084,-122.046,44.332,Lakes End,NF,nan,nan,14,2943.0,NH NR,OR,19.0,NE,Blue River
8085,-118.765,45.19,Lane Creek,NF,nan,nan,8,3891.0,NH ND NS NR,OR,9.0,NE,Ukiah
8086,-121.527,43.764,Lapine State Park,SP,all year,nan,129,4222.0,WES DP DW SH RS PA,OR,22.9,SW,Bend
8087,-121.785,44.26,Lava Camp Lake,NF,nan,nan,12,5331.0,NH ND NS NR,OR,11.9,W,Sisters
8088,-121.822,43.617,Lava Flow,BLM,nan,unknown facilities,nan,4455.0,ND NS NR,OR,12.4,NW,Crescent
8089,-121.766,43.913,Lava Lake,NF,nan,nan,44,4767.0,NH DP 30ft NS NR,OR,24.5,SW,Bend
